	Group	Bray_Curtis_distances	Value				Group	Bray_Curtis_distances	Value				Group	Bray_Curtis_distances	Value
125	Fiber	D21	0.818622118			125	Fat	D21	0.80026509			125	Normal	D21	0.3414062
126	Fiber	D21	0.793909379			126	Fat	D21	0.787314947			126	Normal	D21	0.376299175
127	Fiber	D21	0.812338319			127	Fat	D21	0.882139729			127	Normal	D21	0.220771117
128	Fiber	D21	0.873933687			128	Fat	D21	0.788587811			128	Normal	D21	0.347972867
129	Fiber	D21	0.8017465			129	Fat	D21	0.93364921			129	Normal	D21	0.39031883
130	Fiber	D21	0.824403682			130	Fat	D21	0.884533006			130	Normal	D21	0.247730362
131	Fiber	D21	0.841146584			131	Fat	D21	0.79129631			131	Normal	D21	0.412854371
132	Fiber	D21	0.771892432			132	Fat	D21	0.813342372			132	Normal	D21	0.293573023
133	Fiber	D21	0.871257045			133	Fat	D21	0.918023725			133	Normal	D21	0.218470995
134	Fiber	D21	0.894267016			134	Fat	D21	0.619105538			134	Normal	D21	0.413267329
135	Fiber	D21	0.953948312			135	Fat	D21	0.953729109			135	Normal	D21	0.409313989
136	Fiber	D21	0.857558421			136	Fat	D21	0.913297609			136	Normal	D21	0.232714438
137	Fiber	D21	0.882625418			137	Fat	D21	0.738534026			137	Normal	D21	0.413332929
138	Fiber	D21	0.846164792			138	Fat	D21	0.811828681			138	Normal	D21	0.220588883
139	Fiber	D21	0.930843017			139	Fat	D21	0.872268613			139	Normal	D21	0.324118269
140	Fiber	D21	0.948412703			140	Fat	D21	0.749781475			140	Normal	D21	0.386395231
141	Fiber	D21	0.958314606			141	Fat	D21	0.9505409			141	Normal	D21	0.279007708
142	Fiber	D21	0.932299403			142	Fat	D21	0.872683387			142	Normal	D21	0.358909232
143	Fiber	D21	0.948883903			143	Fat	D21	0.775282178			143	Normal	D21	0.440667528
144	Fiber	D21	0.937635291			144	Fat	D21	0.803257841			144	Normal	D21	0.311415797
145	Fiber	D28	0.896790495			145	Fat	D28	0.904695595			145	Normal	D28	0.719183014
146	Fiber	D28	0.891001005			146	Fat	D28	0.60539842			146	Normal	D28	0.228607016
147	Fiber	D28	0.954945102			147	Fat	D28	0.899272105			147	Normal	D28	0.742144939
148	Fiber	D28	0.910020091			148	Fat	D28	0.912697991			148	Normal	D28	0.729617
149	Fiber	D28	0.915155792			149	Fat	D28	0.847213085			149	Normal	D28	0.6775618
150	Fiber	D28	0.899258695			150	Fat	D28	0.811175491			150	Normal	D28	0.482295626
