"consensus_lin","EdgeBetweenness","eweight","interaction","name","selected","shared interaction","shared name"
"Clostridium_sp_ASF356","90.0","0.443681415","interacts with","Clostridium_sp_ASF356 (interacts with) Muribaculaceae_bacterium_DSM_103720","false","interacts with","Clostridium_sp_ASF356 (interacts with) Muribaculaceae_bacterium_DSM_103720"
"Butyricimonas_virosa","32.84549698667346","0.493359435","interacts with","Butyricimonas_virosa (interacts with) Enterorhabdus_caecimuris","false","interacts with","Butyricimonas_virosa (interacts with) Enterorhabdus_caecimuris"
"Parasutterella_excrementihominis","64.21389525507173","0.565294772","interacts with","Parasutterella_excrementihominis (interacts with) Parabacteroides_goldsteinii","false","interacts with","Parasutterella_excrementihominis (interacts with) Parabacteroides_goldsteinii"
"Parasutterella_excrementihominis","87.50303030303029","0.486985539","interacts with","Parasutterella_excrementihominis (interacts with) Faecalibaculum_rodentium","false","interacts with","Parasutterella_excrementihominis (interacts with) Faecalibaculum_rodentium"
"Parasutterella_excrementihominis","76.96667939903236","-0.448312087","interacts with","Parasutterella_excrementihominis (interacts with) Dorea_sp_5_2","false","interacts with","Parasutterella_excrementihominis (interacts with) Dorea_sp_5_2"
"Parasutterella_excrementihominis","72.14105975723625","-0.420689655","interacts with","Parasutterella_excrementihominis (interacts with) Bifidobacterium_animalis","false","interacts with","Parasutterella_excrementihominis (interacts with) Bifidobacterium_animalis"
"Mucispirillum_schaedleri","38.403361344537814","-0.426966295","interacts with","Mucispirillum_schaedleri (interacts with) Bifidobacterium_animalis","false","interacts with","Mucispirillum_schaedleri (interacts with) Bifidobacterium_animalis"
"Helicobacter_hepaticus","60.01323953823954","0.421579533","interacts with","Helicobacter_hepaticus (interacts with) Parasutterella_excrementihominis","false","interacts with","Helicobacter_hepaticus (interacts with) Parasutterella_excrementihominis"
"Helicobacter_hepaticus","13.833333333333332","0.553787966","interacts with","Helicobacter_hepaticus (interacts with) Mucispirillum_schaedleri","false","interacts with","Helicobacter_hepaticus (interacts with) Mucispirillum_schaedleri"
"Helicobacter_hepaticus","90.0","0.430478309","interacts with","Helicobacter_hepaticus (interacts with) Helicobacter_ganmani","false","interacts with","Helicobacter_hepaticus (interacts with) Helicobacter_ganmani"
"Helicobacter_hepaticus","48.08015873015873","0.676974416","interacts with","Helicobacter_hepaticus (interacts with) Helicobacter_apodemus","false","interacts with","Helicobacter_hepaticus (interacts with) Helicobacter_apodemus"
"Helicobacter_hepaticus","112.34755326372974","0.418953104","interacts with","Helicobacter_hepaticus (interacts with) Desulfovibrionaceae_bacterium","false","interacts with","Helicobacter_hepaticus (interacts with) Desulfovibrionaceae_bacterium"
"Helicobacter_hepaticus","59.608123249299744","-0.525250278","interacts with","Helicobacter_hepaticus (interacts with) Bifidobacterium_animalis","false","interacts with","Helicobacter_hepaticus (interacts with) Bifidobacterium_animalis"
"Helicobacter_typhlonius","29.412301587301585","0.484315907","interacts with","Helicobacter_typhlonius (interacts with) Parabacteroides_distasonis","false","interacts with","Helicobacter_typhlonius (interacts with) Parabacteroides_distasonis"
"Helicobacter_typhlonius","20.176587301587297","0.497496944","interacts with","Helicobacter_typhlonius (interacts with) Muribaculum_intestinale","false","interacts with","Helicobacter_typhlonius (interacts with) Muribaculum_intestinale"
"Helicobacter_typhlonius","14.32738095238095","0.766047396","interacts with","Helicobacter_typhlonius (interacts with) Mucispirillum_schaedleri","false","interacts with","Helicobacter_typhlonius (interacts with) Mucispirillum_schaedleri"
"Helicobacter_typhlonius","33.37698412698412","0.673859844","interacts with","Helicobacter_typhlonius (interacts with) Helicobacter_hepaticus","false","interacts with","Helicobacter_typhlonius (interacts with) Helicobacter_hepaticus"
"Helicobacter_typhlonius","27.23214285714285","-0.542602892","interacts with","Helicobacter_typhlonius (interacts with) Bifidobacterium_animalis","false","interacts with","Helicobacter_typhlonius (interacts with) Bifidobacterium_animalis"
