row	col	val1
Bacteroides_faecichinchillae	Bifidobacterium_pseudolongum	0.213582305
Bacteroides_intestinalis	Bifidobacterium_pseudolongum	NA
Bacteroides_massiliensis	Bifidobacterium_pseudolongum	NA
Bacteroides_ovatus	Bifidobacterium_pseudolongum	0.07130152
Bacteroides_sartorii	Bifidobacterium_pseudolongum	0.030929542
Bacteroides_stercorirosoris	Bifidobacterium_pseudolongum	NA
Bacteroides_thetaiotaomicron	Bifidobacterium_pseudolongum	0.748655991
Bacteroides_uniformis	Bifidobacterium_pseudolongum	4.03e-05
Bacteroides_vulgatus	Bifidobacterium_pseudolongum	0.013779809
Bacteroides_xylanisolvens	Bifidobacterium_pseudolongum	0.396879771
Muribaculaceae_bacterium_DSM_103720	Bifidobacterium_pseudolongum	0.231259561
Muribaculum_intestinale	Bifidobacterium_pseudolongum	NA
Butyricimonas_virosa	Bifidobacterium_pseudolongum	NA
Prevotella_sp_MGM2	Bifidobacterium_pseudolongum	0.001928637
Alistipes_indistinctus	Bifidobacterium_pseudolongum	0.228782585
Alistipes_shahii	Bifidobacterium_pseudolongum	0.212572018
Alistipes_timonensis	Bifidobacterium_pseudolongum	NA
Parabacteroides_distasonis	Bifidobacterium_pseudolongum	0.18790527
Parabacteroides_goldsteinii	Bifidobacterium_pseudolongum	0.778868359
Parabacteroides_johnsonii	Bifidobacterium_pseudolongum	NA
Parabacteroides_merdae	Bifidobacterium_pseudolongum	NA
Mucispirillum_schaedleri	Bifidobacterium_pseudolongum	0.050725222
Jeotgalicoccus_halotolerans	Bifidobacterium_pseudolongum	NA
Staphylococcus_aureus	Bifidobacterium_pseudolongum	NA
Staphylococcus_lentus	Bifidobacterium_pseudolongum	0.443486203
Staphylococcus_nepalensis	Bifidobacterium_pseudolongum	0.443486203
Staphylococcus_sciuri	Bifidobacterium_pseudolongum	0.2675595
Staphylococcus_vitulinus	Bifidobacterium_pseudolongum	0.136055544
Staphylococcus_xylosus	Bifidobacterium_pseudolongum	NA
Aerococcaceae_bacterium	Bifidobacterium_pseudolongum	NA
Enterococcus_faecalis	Bifidobacterium_pseudolongum	NA
Enterococcus_gallinarum	Bifidobacterium_pseudolongum	NA
Enterococcus_hirae	Bifidobacterium_pseudolongum	NA
Lactobacillus_intestinalis	Bifidobacterium_pseudolongum	NA
Lactobacillus_johnsonii	Bifidobacterium_pseudolongum	0.001636585
Lactobacillus_murinus	Bifidobacterium_pseudolongum	0.041298999
Lactobacillus_reuteri	Bifidobacterium_pseudolongum	0.545826596
Lactobacillus_taiwanensis	Bifidobacterium_pseudolongum	NA
Streptococcus_acidominimus	Bifidobacterium_pseudolongum	NA
Clostridium_sp_ASF356	Bifidobacterium_pseudolongum	0.041595546
Clostridium_sp_ASF502	Bifidobacterium_pseudolongum	0.87228816
Eubacterium_plexicaudatum	Bifidobacterium_pseudolongum	0.295076265
Eubacterium_sp_14_2	Bifidobacterium_pseudolongum	0.059756623
Acetatifactor_muris	Bifidobacterium_pseudolongum	0.122547055
Dorea_sp_5_2	Bifidobacterium_pseudolongum	0.01026975
