Time	Diet	Value
D1	Control	0.3193314
D1	Control	0.373735069
D1	Control	0.369202368
D1	Control	0.361679404
D1	Control	0.288652058
D1	Control	0.3675218
D1	Control	0.40822007
D1	Control	0.346200102
D11	Control	0.208630779
D11	Control	0.359733732
D11	Control	0.250658575
D11	Control	0.25166985
D11	Control	0.726993396
D11	Control	0.487048974
D11	Control	0.2707345
D11	Control	0.245678675
D11	Control	0.581875305
D11	Control	0.472520374
D11	Control	0.40282683
D11	Control	0.789420642
D11	Control	0.352575465
D11	Control	0.773102157
D11	Control	0.589468844
D14	Control	0.2794246
D14	Control	0.304542135
D14	Control	0.229371939
D14	Control	0.49965945
D14	Control	0.276714936
D14	Control	0.362738932
D14	Control	0.227184339
D14	Control	0.420902658
D14	Control	0.147731343
D14	Control	0.360562564
D14	Control	0.473803479
D14	Control	0.347960265
D14	Control	0.53198917
D14	Control	0.148247985
D14	Control	0.46393028
D21	Control	0.379266524
D21	Control	0.340018798
D21	Control	0.09875298
D21	Control	0.369081926
D21	Control	0.2225618
D21	Control	0.466258753
D21	Control	0.3800771
D21	Control	0.2332961
D21	Control	0.35140787
D21	Control	0.376057362
D21	Control	0.425758057
D21	Control	0.39604854
D21	Control	0.3700141
D21	Control	0.230022146
D21	Control	0.289553558
D28	Control	0.518251948
D28	Control	0.480591252
D28	Control	0.123023156
D28	Control	0.469302973
D28	Control	0.3057775
D28	Control	0.559866888
D28	Control	0.522129824
D28	Control	0.500941725
D28	Control	0.275728572
D28	Control	0.488465126
D28	Control	0.539432723
D28	Control	0.471612553
D28	Control	0.471675347
D28	Control	0.322172466
D28	Control	0.505801375
